order_id;product_id;unit_price;quantity;discount
1;11;14;68;0
1;42;9,8;53;0
1;72;34,8;73;0
2;14;18,6;14;0
2;51;42,4;49;0
3;41;7,7;67;0
3;51;42,4;77;0,15
3;65;16,8;54;0,15
4;22;16,8;10;0,05
4;57;15,6;74;0,05
4;65;16,8;20;0
5;20;64,8;22;0,05
5;33;2;42;0,05
5;60;27,2;48;0
6;31;10;11;0
6;39;14,4;77;0
6;49;16;64;0
7;24;3,6;47;0,15
7;55;19,2;75;0,15
7;74;8;20;0
8;2;15,2;57;0
8;16;13,9;62;0
8;36;15,2;48;0
8;59;44;71;0
9;53;26,2;12;0
9;77;10,4;29;0
10;27;35,1;53;0
10;39;14,4;15;0
10;77;10,4;66;0
11;2;15,2;32;0,2
11;5;17;12;0,2
11;32;25,6;75;0,2
12;21;8;28;0
12;37;20,8;22;0
13;41;7,7;38;0,25
13;57;15,6;30;0
13;62;39,4;33;0,25
13;70;12;93;0,25
14;21;8;25;0
14;35;14,4;42;0
15;5;17;48;0,2
15;7;24;89;0
15;56;30,4;51;0
16;16;13,9;49;0,25
16;24;3,6;90;0
16;30;20,7;74;0,25
16;74;8;15;0,25
17;2;15,2;65;0
17;41;7,7;19;0,15
18;17;31,2;24;0
18;70;12;86;0
19;12;30,4;42;0,05
20;40;14,7;43;0
20;59;44;46;0,15
20;76;14,4;67;0,15
21;29;99;19;0
21;72;27,8;86;0
22;33;2;56;0,05
22;72;27,8;88;0,05
23;36;15,2;15;0
23;43;36,8;59;0
24;33;2;48;0
25;20;64,8;54;0
25;31;10;21;0
25;72;27,8;8;0
26;10;24,8;44;0,05
26;31;10;77;0,05
26;33;2;80;0
26;40;14,7;35;0,05
26;76;14,4;12;0,05
27;71;17,2;36;0
27;72;27,8;19;0
28;24;3,6;99;0,05
28;59;44;25;0,05
29;10;24,8;46;0
29;13;4,8;76;0
30;28;36,4;72;0
30;62;39,4;41;0
31;44;15,5;93;0
31;59;44;95;0
31;63;35,1;12;0
31;73;12;72;0
32;17;31,2;94;0,25
33;24;3,6;45;0
33;55;19,2;62;0
33;75;6,2;24;0
34;19;7,3;19;0
34;24;3,6;15;0
34;35;14,4;77;0
35;30;20,7;72;0
35;57;15,6;52;0
36;15;12,4;90;0
36;19;7,3;13;0
36;60;27,2;52;0
36;72;27,8;86;0
37;27;35,1;23;0,25
37;44;15,5;17;0
37;60;27,2;16;0,25
37;67;11,2;61;0,25
38;1;14,4;95;0,2
38;40;14,7;29;0,2
38;53;26,2;58;0,2
39;35;14,4;37;0
39;62;39,4;93;0
40;16;13,9;41;0,15
40;34;11,2;41;0
40;46;9,6;34;0,15
41;54;5,9;52;0,1
41;68;10;83;0,1
42;3;8;41;0
42;64;26,6;79;0
43;5;17;80;0
43;29;99;74;0
43;49;16;88;0
43;77;10,4;65;0
44;13;4,8;97;0,1
44;44;15,5;69;0,1
44;51;42,4;12;0,1
45;20;64,8;53;0
46;18;50;92;0
46;24;3,6;86;0
46;63;35,1;44;0
46;75;6,2;60;0
47;1;14,4;68;0
47;17;31,2;47;0
47;43;36,8;47;0
47;60;27,2;51;0
47;75;6,2;18;0
48;56;30,4;20;0
49;11;16,8;56;0
49;16;13,9;79;0
49;69;28,8;38;0
50;39;14,4;16;0
50;72;27,8;30;0
51;2;15,2;25;0
51;36;15,2;23;0,25
51;59;44;87;0,25
51;62;39,4;91;0
52;19;7,3;91;0
52;70;12;26;0
53;66;13,6;71;0
53;68;10;52;0
54;40;14,7;98;0
54;56;30,4;50;0
55;17;31,2;50;0
55;28;36,4;62;0
55;43;36,8;70;0
56;40;14,7;17;0,1
56;65;16,8;94;0,1
56;68;10;59;0,1
57;49;16;24;0
57;59;44;28;0
57;71;17,2;69;0
58;18;50;82;0,1
58;29;99;58;0,1
58;39;14,4;33;0,1
59;30;20,7;95;0
59;53;26,2;91;0
59;54;5,9;96;0
60;62;39,4;38;0
60;68;10;13;0
61;69;28,8;14;0
61;70;12;57;0
62;4;17,6;22;0
62;6;20;16;0
62;42;11,2;58;0
62;43;36,8;44;0
62;71;17,2;74;0
63;16;13,9;71;0
63;62;39,4;8;0
64;42;11,2;18;0
64;69;28,8;63;0
65;28;36,4;51;0
65;43;36,8;27;0
65;53;26,2;45;0
65;75;6,2;98;0
66;36;15,2;59;0
67;32;25,6;26;0,1
67;58;10,6;58;0,1
67;62;39,4;50;0,1
68;34;11,2;53;0
68;70;12;49;0
69;41;7,7;31;0
69;62;39,4;46;0
70;1;14,4;34;0
71;41;7,7;9;0
71;76;14,4;33;0
72;17;31,2;34;0
72;28;36,4;75;0
72;76;14,4;85;0
73;71;17,2;56;0
74;35;14,4;51;0
75;52;5,6;8;0
76;15;12,4;68;0
76;25;11,2;83;0
76;39;14,4;34;0
77;16;13,9;77;0,15
77;35;14,4;10;0,15
77;46;9,6;84;0
77;59;44;13;0,15
77;63;35,1;44;0,15
78;6;20;41;0
78;13;4,8;60;0
78;14;18,6;96;0
78;31;10;52;0
78;72;27,8;59;0
79;4;17,6;41;0
79;57;15,6;88;0
79;75;6,2;57;0
80;2;15,2;11;0,2
80;11;16,8;14;0,2
80;30;20,7;37;0,2
80;58;10,6;40;0,2
81;59;44;40;0
81;65;16,8;13;0
81;68;10;46;0
82;19;7,3;50;0,05
82;30;20,7;32;0,05
82;38;210,8;65;0,05
82;56;30,4;61;0,05
83;26;24,9;54;0,15
83;72;27,8;74;0,15
84;54;5,9;46;0
85;18;50;82;0,2
85;42;11,2;9;0,2
85;47;7,6;49;0,2
86;14;18,6;64;0
86;21;8;13;0,1
86;71;17,2;54;0,1
87;52;5,6;25;0
87;68;10;12;0
88;2;15,2;56;0,2
88;31;10;55;0,2
88;32;25,6;58;0,2
88;51;42,4;27;0,2
89;4;17,6;24;0,1
90;23;7,2;55;0
90;26;24,9;43;0
90;36;15,2;38;0
90;37;20,8;96;0
90;72;27,8;57;0
91;17;31,2;59;0
91;30;20,7;47;0
92;4;17,6;21;0
92;17;31,2;12;0,05
92;62;39,4;79;0
93;18;50;40;0,05
93;41;7,7;43;0,05
93;43;36,8;24;0,05
94;33;2;97;0
94;59;44;16;0,15
95;2;15,2;19;0,2
95;31;10;30;0,2
95;36;15,2;44;0,2
95;55;19,2;74;0,2
96;64;26,6;79;0
96;68;10;69;0,05
96;76;14,4;98;0
97;4;17,6;98;0
97;8;32;34;0,25
98;8;32;46;0
98;19;7,3;32;0
98;42;11,2;15;0
99;17;31,2;95;0,1
99;56;30,4;24;0
100;25;11,2;86;0
100;39;14,4;66;0,15
100;40;14,7;87;0
100;75;6,2;60;0,15
101;1;14,4;50;0,15
101;23;7,2;24;0
102;54;5,9;24;0
103;50;13;24;0,1
103;69;28,8;71;0,1
104;38;210,8;36;0,05
104;41;7,7;84;0
104;44;15,5;99;0,05
104;65;16,8;57;0,05
105;24;3,6;22;0
105;54;5,9;23;0,15
106;11;16,8;57;0,2
106;38;210,8;59;0,2
107;1;14,4;85;0
107;29;99;18;0
108;24;3,6;9;0
108;57;15,6;94;0
109;31;10;49;0
109;55;19,2;76;0
109;69;28,8;72;0
110;10;24,8;16;0,2
110;26;24,9;48;0
110;60;27,2;36;0,2
111;24;3,6;91;0,05
111;34;11,2;53;0,05
111;36;15,2;84;0,05
112;16;13,9;60;0,05
112;31;10;36;0,05
112;60;27,2;83;0,05
113;28;36,4;54;0
113;29;99;56;0
113;38;210,8;28;0
113;49;16;42;0
113;54;5,9;63;0
114;39;14,4;18;0,1
114;60;27,2;24;0,1
115;25;11,2;31;0
115;51;42,4;88;0
115;54;5,9;88;0
116;31;10;51;0
116;75;6,2;75;0
116;76;14,4;31;0
117;69;28,8;38;0
117;71;17,2;100;0
118;11;16,8;71;0
119;65;16,8;17;0
119;77;10,4;40;0
120;34;11,2;27;0
120;54;5,9;37;0
120;65;16,8;36;0
120;77;10,4;16;0
121;21;8;50;0,1
121;28;36,4;76;0,1
121;57;15,6;54;0
121;64;26,6;27;0,1
122;29;99;75;0
122;56;30,4;57;0,25
123;1;14,4;10;0,15
123;64;26,6;69;0
123;74;8;46;0,15
124;36;15,2;88;0,2
125;20;64,8;55;0,25
125;38;210,8;54;0,25
125;60;27,2;59;0,25
125;72;27,8;65;0,25
126;58;10,6;82;0,2
126;71;17,2;28;0,2
127;31;10;9;0
127;58;10,6;25;0
128;14;18,6;13;0
128;54;5,9;53;0
129;31;10;63;0,05
130;28;36,4;59;0,15
130;39;14,4;88;0,15
131;71;17,2;25;0
132;41;7,7;42;0,1
132;63;35,1;82;0,1
132;65;16,8;24;0,1
133;30;20,7;62;0,1
133;53;26,2;41;0,1
133;60;27,2;72;0,1
133;70;12;81;0
134;74;8;20;0
135;5;17;7;0
135;18;50;67;0
135;29;99;34;0
135;33;2;87;0
135;74;8;91;0
136;13;4,8;97;0
136;50;13;93;0
136;56;30,4;14;0
137;20;64,8;83;0
137;60;27,2;16;0
138;7;24;63;0,2
138;60;27,2;25;0,2
138;68;10;38;0,2
139;24;3,6;17;0
139;34;11,2;9;0
140;24;3,6;25;0
140;28;36,4;93;0
140;59;44;79;0
140;71;17,2;57;0
